"username,""src_ip"",host,""failed_attempts"""
"backup,""185.93.89.118"",""brute-force-lab-base-vm-v1"",4"
"daemon,""185.93.89.118"",""brute-force-lab-base-vm-v1"",4"
"root,""111.67.201.36"",""brute-force-lab-base-vm-v1"",4"
"root,""113.193.234.210"",""brute-force-lab-base-vm-v1"",4"
"root,""136.232.11.10"",""brute-force-lab-base-vm-v1"",4"
"root,""148.222.199.18"",""brute-force-lab-base-vm-v1"",4"
"root,""157.245.88.137"",""brute-force-lab-base-vm-v1"",4"
"root,""38.188.201.230"",""brute-force-lab-base-vm-v1"",4"
"testuser,""196.251.84.225"",""brute-force-lab-base-vm-v1"",4"
"testuser,""209.38.89.51"",""brute-force-lab-base-vm-v1"",4"
"testuser,""68.183.148.37"",""brute-force-lab-base-vm-v1"",4"
"uucp,""196.251.84.225"",""brute-force-lab-base-vm-v1"",4"
"uucp,""68.183.148.37"",""brute-force-lab-base-vm-v1"",4"
"_chrony,""193.32.162.157"",""brute-force-lab-base-vm-v1"",3"
"admin,""157.245.194.7"",""brute-force-lab-base-vm-v1"",3"
"admin,""157.245.88.137"",""brute-force-lab-base-vm-v1"",3"
"admin,""170.64.196.35"",""brute-force-lab-base-vm-v1"",3"
"admin,""171.251.26.32"",""brute-force-lab-base-vm-v1"",3"
"admin,""193.32.162.143"",""brute-force-lab-base-vm-v1"",3"
"admin,""45.201.140.227"",""brute-force-lab-base-vm-v1"",3"
"admin,""47.99.47.233"",""brute-force-lab-base-vm-v1"",3"
"bin,""196.251.84.225"",""brute-force-lab-base-vm-v1"",3"
"bin,""68.183.148.37"",""brute-force-lab-base-vm-v1"",3"
"root,""101.126.81.18"",""brute-force-lab-base-vm-v1"",3"
"root,""116.105.218.149"",""brute-force-lab-base-vm-v1"",3"
"root,""116.98.175.71"",""brute-force-lab-base-vm-v1"",3"
"root,""46.191.141.152"",""brute-force-lab-base-vm-v1"",3"
"sys,""196.251.84.225"",""brute-force-lab-base-vm-v1"",3"
"sys,""68.183.148.37"",""brute-force-lab-base-vm-v1"",3"
