index=main sourcetype=linux_secure "Failed password"
| rex field=_raw "Failed password for (?<username>\S+) from (?<src_ip>\S+)"
| bucket _time span=5m
| stats count by _time, src_ip, username
| where count >= 3
| eval severity="Medium", attack_type="Brute Force"
| table _time, src_ip, username, count, severity, attack_type


"_time","src_ip",username,count,severity,"attack_type"
"2025-06-12T09:55:00.000+00:00","107.189.11.181",root,5,Medium,"Brute Force"
"2025-06-12T09:55:00.000+00:00","68.183.148.37",root,6,Medium,"Brute Force"
"2025-06-12T10:00:00.000+00:00","68.183.148.37",root,6,Medium,"Brute Force"
"2025-06-12T10:05:00.000+00:00","68.183.148.37",root,6,Medium,"Brute Force"
"2025-06-12T10:10:00.000+00:00","68.183.148.37",root,6,Medium,"Brute Force"
"2025-06-12T10:15:00.000+00:00","68.183.148.37",root,5,Medium,"Brute Force"
"2025-06-12T10:20:00.000+00:00","68.183.148.37",root,5,Medium,"Brute Force"
"2025-06-12T10:25:00.000+00:00","68.183.148.37",root,5,Medium,"Brute Force"
"2025-06-12T10:30:00.000+00:00","111.67.201.36",root,4,Medium,"Brute Force"
"2025-06-12T10:30:00.000+00:00","68.183.148.37",root,7,Medium,"Brute Force"
"2025-06-12T10:35:00.000+00:00","68.183.148.37",root,4,Medium,"Brute Force"
"2025-06-12T10:40:00.000+00:00","68.183.148.37",root,4,Medium,"Brute Force"
"2025-06-12T10:45:00.000+00:00","68.183.148.37",root,6,Medium,"Brute Force"
"2025-06-12T11:55:00.000+00:00","47.86.37.20",admin,5,Medium,"Brute Force"
"2025-06-12T11:55:00.000+00:00","47.86.37.20",root,54,Medium,"Brute Force"
"2025-06-12T12:55:00.000+00:00","127.0.0.1",admin,17,Medium,"Brute Force"
"2025-06-12T12:55:00.000+00:00","127.0.0.1",student,17,Medium,"Brute Force"
"2025-06-12T12:55:00.000+00:00","127.0.0.1",testuser,7,Medium,"Brute Force"
"2025-06-12T13:00:00.000+00:00","127.0.0.1",testuser,10,Medium,"Brute Force"
"2025-06-12T13:00:00.000+00:00","127.0.0.1",weakuser,16,Medium,"Brute Force"
"2025-06-12T13:05:00.000+00:00","127.0.0.1",student,6,Medium,"Brute Force"
"2025-06-12T13:10:00.000+00:00","127.0.0.1",admin,17,Medium,"Brute Force"
"2025-06-12T13:10:00.000+00:00","127.0.0.1",student,11,Medium,"Brute Force"
"2025-06-12T13:10:00.000+00:00","127.0.0.1",testuser,17,Medium,"Brute Force"
"2025-06-12T13:10:00.000+00:00","127.0.0.1",weakuser,8,Medium,"Brute Force"
"2025-06-12T13:10:00.000+00:00","194.0.234.125",root,5,Medium,"Brute Force"
"2025-06-12T13:15:00.000+00:00","127.0.0.1",root,18,Medium,"Brute Force"
"2025-06-12T13:15:00.000+00:00","127.0.0.1",weakuser,8,Medium,"Brute Force"
"2025-06-12T13:15:00.000+00:00","194.0.234.125",root,6,Medium,"Brute Force"
"2025-06-12T15:45:00.000+00:00","41.94.88.219",admin,4,Medium,"Brute Force"
"2025-06-12T15:45:00.000+00:00","41.94.88.219",root,38,Medium,"Brute Force"
"2025-06-12T15:50:00.000+00:00","41.94.88.219",root,23,Medium,"Brute Force"
"2025-06-12T17:35:00.000+00:00","171.15.129.101",root,10,Medium,"Brute Force"
"2025-06-12T17:40:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T17:45:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T17:50:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T17:55:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T18:00:00.000+00:00","171.15.129.101",root,37,Medium,"Brute Force"
"2025-06-12T18:05:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T18:10:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T18:15:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T18:20:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T18:25:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T18:30:00.000+00:00","171.15.129.101",root,37,Medium,"Brute Force"
"2025-06-12T18:35:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T18:40:00.000+00:00","171.15.129.101",root,37,Medium,"Brute Force"
"2025-06-12T18:45:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T18:50:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T18:55:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T19:00:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T19:05:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T19:10:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T19:15:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T19:20:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T19:25:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T19:30:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T19:35:00.000+00:00","171.15.129.101",root,37,Medium,"Brute Force"
"2025-06-12T19:40:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T19:45:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T19:50:00.000+00:00","171.15.129.101",root,37,Medium,"Brute Force"
"2025-06-12T19:55:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T20:00:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T20:05:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T20:10:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T20:15:00.000+00:00","171.15.129.101",root,39,Medium,"Brute Force"
"2025-06-12T20:15:00.000+00:00","195.178.110.160",root,4,Medium,"Brute Force"
"2025-06-12T20:20:00.000+00:00","171.15.129.101",root,38,Medium,"Brute Force"
"2025-06-12T20:25:00.000+00:00","171.15.129.101",root,37,Medium,"Brute Force"
"2025-06-12T20:45:00.000+00:00","118.194.249.57",admin,4,Medium,"Brute Force"
"2025-06-12T20:45:00.000+00:00","118.194.249.57",root,54,Medium,"Brute Force"
"2025-06-12T22:00:00.000+00:00","189.216.11.38",root,9,Medium,"Brute Force"
"2025-06-12T22:05:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T22:10:00.000+00:00","189.216.11.38",root,17,Medium,"Brute Force"
"2025-06-12T22:15:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-12T22:20:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-12T22:25:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T22:30:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-12T22:35:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T22:40:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T22:45:00.000+00:00","189.216.11.38",root,17,Medium,"Brute Force"
"2025-06-12T22:50:00.000+00:00","189.216.11.38",root,17,Medium,"Brute Force"
"2025-06-12T22:55:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T23:00:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-12T23:05:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T23:10:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T23:15:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-12T23:20:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-12T23:25:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-12T23:30:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-12T23:35:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-12T23:40:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-12T23:45:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-12T23:50:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-12T23:55:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-13T00:00:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-13T00:05:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-13T00:10:00.000+00:00","182.215.66.232",root,17,Medium,"Brute Force"
"2025-06-13T00:10:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-13T00:15:00.000+00:00","182.215.66.232",admin,16,Medium,"Brute Force"
"2025-06-13T00:15:00.000+00:00","189.216.11.38",root,17,Medium,"Brute Force"
"2025-06-13T00:20:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-13T00:25:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
